Date,MF,SMB,HML,WML,RF,MKT,Mkt-RF
2004-10-31,0.012168000000000002,-0.007958,-0.021386,0.027204000000000002,0.003877,0.016045,0.012168
2004-11-30,0.09478400000000001,0.027437,0.010870999999999999,0.018346,0.004361,0.099145,0.094784
2004-12-31,0.08949,0.038985,0.042841,-0.036782,0.004866,0.09435600000000001,0.08949000000000001
2005-01-31,-0.019222,0.000189,-0.015688,0.025692,0.004032,-0.015189999999999999,-0.019222
2005-02-28,0.032679,0.022366999999999998,0.047104,0.025613999999999998,0.004195,0.036874,0.032679
2005-03-31,-0.034609,0.029762,0.00011599999999999999,0.047954,0.0046,-0.030009,-0.034609
2005-04-30,-0.044985,0.050626,-0.007879,-0.008515,0.00416,-0.04082499999999999,-0.04498499999999999
2005-05-31,0.08084300000000001,-0.015349999999999999,-0.020845,0.007072,0.004542,0.085385,0.080843
2005-06-30,0.041309,-0.048317,-0.0253,-0.011511,0.004617,0.045926,0.041309
2005-07-31,0.06424400000000001,0.055815000000000003,0.036139000000000004,0.03768,0.004332,0.068576,0.064244
2005-08-31,0.045019,0.050236,0.001333,-0.002255,0.004637,0.049656000000000006,0.045019
2005-09-30,0.07370499999999999,-0.049475,0.018368,0.037054000000000004,0.0043419999999999995,0.078047,0.073705
2005-10-31,-0.094675,-0.009016999999999999,-0.033772,-0.015274000000000001,0.004374,-0.09030099999999999,-0.094675
2005-11-30,0.112902,-0.018052,-0.014031,0.014813,0.004346,0.117248,0.112902
2005-12-31,0.062932,-0.005508,-0.023462999999999998,0.010787,0.005084999999999999,0.06801700000000001,0.06293200000000002
2006-01-31,0.051308999999999994,0.000878,-0.005898,0.088435,0.004922,0.056231,0.051309
2006-02-28,0.025625,-0.019637,-0.012039,0.009727,0.00499,0.030615,0.025625000000000002
2006-03-31,0.096135,-0.001165,-0.02357,0.052346000000000004,0.005750999999999999,0.10188599999999999,0.096135
2006-04-30,0.050186,-0.002879,0.049112,0.046248,0.003814,0.054000000000000006,0.05018600000000001
2006-05-31,-0.128811,0.0029010000000000004,0.007894,-0.024361,0.004945,-0.12386599999999999,-0.12881099999999998
